"city","country","geo","date_time","pollutantGlobalIndex","pollutantGlobalLevel","so2Value","so2Index","so2Level","no2Value","no2Index","no2Level","o3Value","o3Index","o3Level","coValue","coIndex","coLevel","pm25Value","pm25Index","pm25Level","pm10Value","pm10Index","pm10Level","city_id","id"
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.83,1,1,0,0,0,44.36,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937729
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.06,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937730
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.63,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937731
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.78,1,1,0,0,0,43.3,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937732
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.78,1,1,0,0,0,43.3,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937733
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.78,1,1,0,0,0,43.3,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937734
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.4,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937735
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.58,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937736
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.73,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937737
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,43.96,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937738
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44,3,2,NULL,NULL,NULL,4.08,1,1,0,0,0,1079,1937739
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.06,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937740
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.06,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937741
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937742
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937743
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,43.96,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937744
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.86,3,2,NULL,NULL,NULL,3.12,1,1,0,0,0,1079,1937745
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.53,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937746
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.53,3,2,NULL,NULL,NULL,10.08,3,2,0,0,0,1079,1937747
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.57,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937748
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.53,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937749
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.63,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937750
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.81,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937751
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44.05,3,2,NULL,NULL,NULL,4.08,1,1,0,0,0,1079,1937752
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44.05,3,2,NULL,NULL,NULL,4.08,1,1,0,0,0,1079,1937753
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44.05,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937754
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44.05,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937755
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",6,3,1.82,1,1,0,0,0,44.15,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937756
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",6,3,1.82,1,1,0,0,0,44.15,3,2,NULL,NULL,NULL,20.89,6,3,0,0,0,1079,1937757
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",6,3,1.82,1,1,0,0,0,44.3,3,2,NULL,NULL,NULL,19.47,6,3,0,0,0,1079,1937758
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,43.9,3,2,NULL,NULL,NULL,20.18,6,3,0,0,0,1079,1937759
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.79,1,1,0,0,0,43.76,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937760
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.79,1,1,0,0,0,43.57,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937761
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.38,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937762
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.57,3,2,NULL,NULL,NULL,4.08,1,1,0,0,0,1079,1937763
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.44,3,2,NULL,NULL,NULL,4.08,1,1,0,0,0,1079,1937764
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.81,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937765
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,43.81,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937766
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937767
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937768
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.11,3,2,NULL,NULL,NULL,2.16,1,1,0,0,0,1079,1937769
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.06,3,2,NULL,NULL,NULL,3.12,1,1,0,0,0,1079,1937770
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937771
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.25,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937772
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.82,1,1,0,0,0,44.11,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937773
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.63,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937774
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.78,1,1,0,0,0,43.63,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937775
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.78,1,1,0,0,0,43.16,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937776
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.34,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937777
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.44,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937778
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.79,1,1,0,0,0,43.5,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937779
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.8,1,1,0,0,0,43.73,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937780
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,43.92,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937781
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,43.96,3,2,NULL,NULL,NULL,7.2,2,2,0,0,0,1079,1937782
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,3,1.81,1,1,0,0,0,44.02,3,2,NULL,NULL,NULL,10.08,3,2,0,0,0,1079,1937783
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44.02,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937784
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",3,2,1.81,1,1,0,0,0,44.02,3,2,NULL,NULL,NULL,6,2,2,0,0,0,1079,1937785
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.82,1,1,0,0,0,44.16,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937786
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.81,1,1,0,0,0,44.21,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937787
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.8,1,1,0,0,0,43.77,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937788
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",5,3,1.8,1,1,0,0,0,43.63,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937789
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",5,3,1.78,1,1,0,0,0,43.3,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937790
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",5,3,1.78,1,1,0,0,0,43.16,3,2,NULL,NULL,NULL,11.04,4,3,0,0,0,1079,1937791
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.79,1,1,0,0,0,43.48,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937792
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.79,1,1,0,0,0,43.4,3,2,NULL,NULL,NULL,10.08,3,2,0,0,0,1079,1937793
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.8,1,1,0,0,0,43.81,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937794
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.81,1,1,0,0,0,43.96,3,2,NULL,NULL,NULL,9.12,3,2,0,0,0,1079,1937795
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",7,3,1.81,1,1,0,0,0,43.92,3,2,NULL,NULL,NULL,5.04,2,2,0,0,0,1079,1937796
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.81,1,1,0,0,0,43.92,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937797
"Corpus Christi","United States","[27.8002,-97.3956]","2018-10-01 06:26:07",4,2,1.82,1,1,0,0,0,44.06,3,2,NULL,NULL,NULL,8.16,3,2,0,0,0,1079,1937798
